Episode,Difficulty,DifficultyName,Reward,WindowAvg
655,1,EASY,0.639,0.5232
656,1,EASY,0.563,0.523
657,1,EASY,0.6144,0.5248
658,1,EASY,0.5721,0.5249
659,1,EASY,0.554,0.5268
660,1,EASY,0.5409,0.5269
661,1,EASY,0.6365,0.5287
662,1,EASY,0.512,0.5263
663,1,EASY,0.5421,0.5265
664,1,EASY,0.3998,0.5226
665,1,EASY,0.5812,0.5231
666,1,EASY,0.5759,0.5237
667,1,EASY,0.564,0.5268
668,1,EASY,0.5481,0.5267
669,1,EASY,0.2451,0.5203
670,1,EASY,0.5029,0.5255
671,1,EASY,0.5028,0.5249
672,1,EASY,0.563,0.5248
673,1,EASY,0.5596,0.5243
674,1,EASY,0.6212,0.5256
675,1,EASY,0.6384,0.5252
676,1,EASY,0.6289,0.5273
677,1,EASY,0.5649,0.5268
678,1,EASY,0.5703,0.5296
679,1,EASY,0.5562,0.5295
680,1,EASY,0.5504,0.5325
681,1,EASY,0.5532,0.5323
682,1,EASY,0.5271,0.5327
683,1,EASY,0.5598,0.5334
684,1,EASY,0.3175,0.5331
685,1,EASY,0.5763,0.5336
686,1,EASY,0.6206,0.5348
687,1,EASY,0.5038,0.5339
688,1,EASY,0.5312,0.5328
689,1,EASY,0.6403,0.5354
690,1,EASY,0.6252,0.5377
691,1,EASY,0.4941,0.5365
692,1,EASY,0.5421,0.5361
693,1,EASY,0.5908,0.5383
694,1,EASY,0.5626,0.5367
695,1,EASY,0.5646,0.5374
696,1,EASY,0.5268,0.5395
697,1,EASY,0.5652,0.541
698,1,EASY,0.6531,0.5427
699,1,EASY,0.5792,0.5445
700,1,EASY,0.4046,0.5427
701,1,EASY,0.4986,0.5447
702,1,EASY,0.4025,0.5461
703,1,EASY,0.4064,0.5436
704,1,EASY,0.5722,0.5433
705,1,EASY,0.5498,0.5415
706,1,EASY,0.6158,0.5426
707,1,EASY,0.5543,0.5414
708,1,EASY,0.57,0.5413
709,1,EASY,0.6418,0.5431
710,1,EASY,0.5946,0.5442
711,1,EASY,0.6415,0.5443
712,1,EASY,0.5422,0.5449
713,1,EASY,0.6227,0.5465
714,1,EASY,0.5341,0.5492
715,1,EASY,0.5497,0.5485
716,1,EASY,0.5541,0.5481
717,1,EASY,0.4349,0.5455
718,1,EASY,0.5552,0.5457
719,1,EASY,0.552,0.5518
720,1,EASY,0.555,0.5528
721,1,EASY,0.6049,0.5549
722,1,EASY,0.6087,0.5558
723,1,EASY,0.5429,0.5555
724,1,EASY,0.6269,0.5556
725,1,EASY,0.5315,0.5534
726,1,EASY,0.5681,0.5522
727,1,EASY,0.5927,0.5528
728,1,EASY,0.5321,0.552
729,1,EASY,0.5489,0.5519
730,1,EASY,0.5507,0.5519
731,1,EASY,0.5524,0.5518
732,1,EASY,0.502,0.5513
733,1,EASY,0.5759,0.5517
734,1,EASY,0.5765,0.5568
735,1,EASY,0.5394,0.5561
736,1,EASY,0.5662,0.555
737,1,EASY,0.5542,0.556
738,1,EASY,0.5842,0.5571
739,1,EASY,0.5697,0.5557
740,1,EASY,0.5633,0.5544
741,1,EASY,0.5308,0.5552
742,1,EASY,0.526,0.5548
743,1,EASY,0.573,0.5545
744,1,EASY,0.5296,0.5538
745,1,EASY,0.3364,0.5493
746,1,EASY,0.3976,0.5467
747,1,EASY,0.5041,0.5455
748,1,EASY,0.5415,0.5432
749,1,EASY,0.5621,0.5429
750,1,EASY,0.5457,0.5457
751,1,EASY,0.5372,0.5465
752,1,EASY,0.5527,0.5495
753,1,EASY,0.561,0.5526
754,1,EASY,0.6171,0.5535
755,1,EASY,0.5654,0.5538
756,1,EASY,0.6436,0.5543
757,1,EASY,0.5847,0.5549
758,1,EASY,0.5824,0.5552
759,1,EASY,0.5516,0.5534
760,1,EASY,0.5514,0.5525
761,1,EASY,0.5723,0.5511
762,1,EASY,0.5956,0.5522
763,1,EASY,0.5802,0.5514
764,1,EASY,0.5431,0.5515
765,1,EASY,0.3788,0.5481
766,1,EASY,0.4826,0.5467
767,1,EASY,0.4773,0.5475
768,1,EASY,0.5738,0.5479
769,1,EASY,0.5518,0.5479
770,1,EASY,0.5656,0.5481
771,1,EASY,0.3011,0.542
772,1,EASY,0.5972,0.5418
773,1,EASY,0.4197,0.5393
774,1,EASY,0.4202,0.5352
775,1,EASY,0.5378,0.5353
776,1,EASY,0.5711,0.5354
777,1,EASY,0.572,0.535
778,1,EASY,0.5675,0.5357
779,1,EASY,0.5472,0.5357
780,1,EASY,0.6427,0.5375
